,category,title,instructor,price,numofstudents,numoflectures,rating,review,urls
150,인프라,쉽게 시작하는 쿠버네티스(v1.20),조훈(Hoon Jo),88000,647명,총 57개 수업 / 총 9시간 27분,4.9,"""제공해주신 스크립트 덕분에 로컬에 쿠버 설치를 완료하였네요. 설치가 쉽지 않던데 덕분에 쉽게 시작할 수 있을 듯 합니다.""DELIMITER111 ""강사님도 친절하시고 질문에 대한 답변도 빠릅니다! 계속 강의가 업데이트 되는것도 만족스럽습니다! 무엇보다 쿠버네티스의 흐름을 잡고 시작하기 좋은 강의입니다.""DELIMITER111 ""강의 들으면서 좋은점 1. 강사님 목소리 좋음 2. 아키텍처에서 큰 틀을 이해할 수 있게 준비함 3. 보충수업을 잘해주심 4. 초보자가 쿠버네티스 배우기에 정말 좋음""DELIMITER111 ""처음 k8s를 접해 개념을 잡기에 좋고 만들어진 스크립트들로 인해 실습을 따라하는데 전혀 어려움이 없었습니다. 나중에 좀 더 deep dive한 강의들이 나오면 꼭 듣고 싶네요 감사합니다.""DELIMITER111 ""쿠버네티스를 개괄적으로 이해하는데 많은 도움이 되었습니다~ 공부법 가이드도 앞으로 쿠버네티스를 익혀나가는데 좋은 길잡이가 될 것 같습니다^^""",https://www.inflearn.com/course/쿠버네티스-쉽게시작
151,웹 개발,Vue.js + TypeScript 완벽 가이드,장기효(캡틴판교),55000,351명,총 84개 수업 / 총 8시간 2분,5.0,"""vue.js 에서 typescript 적용에 대한 정말 좋은 강의입니다.""DELIMITER111 ""this is korea legend. ""이것은 한국의 레전드 강의다.""""DELIMITER111 ""좋은 강의였습니다.""DELIMITER111 ""좋은 강의 만들어주셔서 감사합니다👍""DELIMITER111 ""개발하면서 몰랐던 부분들을 알 수 있었던 강의!""",https://www.inflearn.com/course/vue-ts
152,모바일 앱 개발,iOS SwiftUI AR 증강현실,쎄뮤,52800,46명,총 37개 수업 / 총 6시간 32분,0.0,,https://www.inflearn.com/course/스위프트-증강현실
153,인공지능,프로그래머를 위한 강화학습(저자 직강),멀티코어,60500,87명,총 35개 수업 / 총 6시간 48분,4.0,"""인공지능에 관심이 있어 책을 사고 강의를 듣게 되었습니다. 다른 동영상이나 글에서는 MDP를 어렵게 설명해서 이해하기가 힘들었습니다. 출퇴근 할 때마다 책을 보고 이해하려고 했고, 강의를 반복해서 들었습니다. 그 어렵다던 MDP가 조금씩 눈에 들어오더군요.. 강화학습을 공부하시고 싶은 분들은 책하고 강의를 같이 보고 듣기를 강추합니다.""DELIMITER111 ""강화학습 책을 여러권 보다가 포기 했는데. 이건 꾸준히 들을수 있어서 좋네요""DELIMITER111 ""A2c강의 앞부분 잘리고, 뒷부분 공백 뭐죠? 뭔가 빠진 느낌인데""",https://www.inflearn.com/course/프로그래머를-위한-강화학습
154,알고리즘,자바스크립트 알고리즘 문제풀이(코딩테스트 대비),김태원,38500,1494명,총 94개 수업 / 총 18시간 14분,4.9,"""알고리즘 문제가 너무 쉽다고 하시는 분이 있었는데, 그건 응용 부분을 적게 다루어서이지, 어려운 알고리즘을 다루지 않아서가 아닌 것 같습니다. 그리고 이 강의를 들으면서 느낀 건데, 어려운 알고리즘을 풀기위한 기본 문제를 고루고루 다뤄주신다는 느낌을 받았습니다. 강의 덕분에 프로그래머스 1 ~ 3레벨 문제로 점점 풀려가기 시작했네요. 4레벨까지는 이 강의만 보고 열심히 연습하면 풀 수 있을 것 같다는 느낌을 받았습니다. 좋은 강의 감사합니다.""DELIMITER111 ""차분하시고 꼼꼼하게 강의를 하셔서 이해가 잘 됩니다!""DELIMITER111 ""정말 이해하기 쉽고 잘 배우고있습니다. 자바스크립트 알고리즘 강의가 정말 잘없는데 이렇게 해주셔서 감사합니다""DELIMITER111 ""자바스크립트 기반의 알고리즘 강의가 거의 없는데 만들어주셔서 정말 감사합니다 뭔가 막막했는데 체계적으로 공부할 수 있어서, 그리고 자세하게 설명을 잘해주셔서 정말 만족해요 강의 문제 다 풀어보고 카테고리별로 알고리즘 사이트의  다른 문제들을 풀면서 연습하면 좋을 것 같습니다.""DELIMITER111 ""너무 재밌습니다. 자바스크립트 코딩테스트 강의 찾고 있었는데, 딱 이 강의입니다. 감사합니다. 여러 번 돌려 보면서 실력 쌓겠습니다.""",https://www.inflearn.com/course/자바스크립트-알고리즘-문제풀이
155,인프라,대세는 쿠버네티스 [Helm편],김태민,77000,215명,총 15개 수업 / 총 3시간 50분,5.0,"""이번 강의도 만족스럽네요! 강사님 덕분에 쿠버네티스가 재미있습니다~""DELIMITER111 ""큰 도움이 되었습니다. 감사합니다!""DELIMITER111 ""너무 좋은 강의였습니다.""DELIMITER111 ""강사님의 그전  쿠버네티스 강의로 개념을 이미지로 쉽게 이해해서 cka 자격증 획득했습니다~!! 이번 강의도 이미지로 이해하기 쉽게 강의해 주셧네요~  감사해요!!""DELIMITER111 "".....""",https://www.inflearn.com/course/대세-쿠버네티스-헬름
156,데이터베이스,오라클 성능 분석과 인스턴스 튜닝 핵심 가이드,권 철민,88000,240명,총 124개 수업 / 총 26시간 26분,4.7,"""어려운 내용을 숨가쁘게 진행하네요.  이해하기 위해 여러번 반복해서 봐야 할거 같아요.""DELIMITER111 ""자세한 내용설명이 너무 좋았어요.""DELIMITER111 ""감사합니다""DELIMITER111 ""감사합니다""DELIMITER111 ""덕분에 좋은 지식 얻었습니다. 감사합니다.""",https://www.inflearn.com/course/오라클-성능-분석
157,알고리즘,코딩테스트 전 꼭 알아야 할 개념과 문제(with 자바),푸샵맨 코딩스터디,0,234명,총 41개 수업 / 총 7시간 50분,4.1,"""알고리즘 개념에 대한 자세한 설명과 문제 접근 방식 노하우를 기대했지만... 기대했던 그런 강의는 아니네요. 문제에 대한 설명이 PPT에서도 영상에서도 부족해서 몇 번씩 되돌아가 들어야 했습니다. ""난 코테를 조금 준비해 왔다.""  하는 사람에겐 도움될 수도 있겠네요.""DELIMITER111 ""문제의 설명 할 때 그림 예제가 부족해 아쉬웠지만 기초 개념 익히기에는 좋은 강의인 거 같습니다""DELIMITER111 ""코딩테스트 준비하는 사람으로서 강의가 많은 도움이 되었습니다. 코딩테스트에 필요한 개념들을 덕분에 잘 알아갑니다.  다만, 문제에 대한 내용과 해설을 더 구체적으로 강의자료에 넣어주시면 더 좋을 것 같다는 생각이 들었습니다. 듣는 것만으로는 내용 이해가 잘 안되는 강의가 종종 있었습니다.""DELIMITER111 ""각 파트마다 어느정도 공부하고 오시면 이해가 될텐데, 처음 들으면 이해하기 어려울 것 같네요""DELIMITER111 ""문제 개념에 대한 자세한 내용 감사합니다""",https://www.inflearn.com/course/코딩테스트-자바-개념
158,서버 개발,얄팍한 GraphQL과 Apollo,얄팍한 코딩사전,49500,920명,총 14개 수업 / 총 1시간 30분,4.9,"""못하는게 없는 얄코..""DELIMITER111 ""좋은 강의 감사합니다.""DELIMITER111 ""90분 동안 핵심들을 설명해주는 좋은 강의입니다!""DELIMITER111 ""강사님께서 정말 열심히 준비하셨다는 것이 느껴졌습니다.  기본적인 GraphQL과 Appollo에 대한 개념들을 알 수 있어서 도움이 많이 되었습니다. 감사합니다~""DELIMITER111 ""군더더기 없이 깔끔한 강의네요, 이게 꽁짜라니... ㅋㅋㅋ 감사합니다. 얄코님!! 유튜브도 구독하고 잘 보고 있습니다.""",https://www.inflearn.com/course/얄팍한-graphql-apollo
159,프레임워크 및 라이브러리,[리뉴얼] Node.js 교과서 - 기본부터 프로젝트 실습까지,조현영,44000,1518명,총 124개 수업 / 총 24시간 23분,4.7,"""제로초님의 Node.js 강의와 React-nodebird 강의를 모두 수강했습니다. 강의만 잘 듣고 따라 한다면 응용이 가능합니다. 그만큼 강의가 매우 이해하기 쉽고 수정되는 부분에 대해 빠르게 반영해주십니다.  그리고 이 강의의 최대 강점인 q&a는 강의를 이용해 응용하는 부분에서도 친절히 알려주십니다.  q&a를 통해 완벽한 해결책을 얻지 못하여도 큰 힌트를 얻고 해결하는 경우도 매우 많았습니다. 정말 좋은 강의입니다. 감사합니다.""DELIMITER111 ""스스로해보기 개정판버전으로 유튜브에 올려주세요!""DELIMITER111 ""노드 실무관점에서 자세히 설명해주십니다.""DELIMITER111 ""그냥 바로 Node.js 로 넘어가는게 아니라 javascript를 한번 더 다지고 node로 넘어갈 수 있어서 좋네용 ㅎㅎ""DELIMITER111 ""답변도 아주 빠르고 상세하게 적어주셔서 너무 잘 공부하고 있습니다. 감사합니다""",https://www.inflearn.com/course/노드-교과서
160,게임 개발,[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] 번외편: AWS로 시작하는 서버 운영,Rookiss,33000,276명,총 28개 수업 / 총 10시간 45분,5.0,"""진짜 갓키스님입니다.~~ 바쁘신 와중에 이런 엄청난 강좌까지.. 너무너무 감사합니다. 설사 게임을 못 만들지라도 이런 과정을 한번쯤 알고 싶었습니다. 국내 유일한 mmorpg만들기 풀강좌 세트!!! 영구소장하고 싶네요.""DELIMITER111 ""갓루키쓰님의 2020년 마지막 강의!""DELIMITER111 ""너무 좋은 강의!!""",https://www.inflearn.com/course/유니티-mmorpg-개발-aws
161,데이터 시각화,[딥러닝 전문가 과정 DL1111] 공대형아의 데이터 시각화를 위한 파이썬,공대형아,38500,113명,총 66개 수업 / 총 15시간 44분,5.0,"""많은 경험을 바탕으로 잘 만들어진 강의입니다. 추천합니다.""DELIMITER111 ""맷플롯립을 이렇게 상세하게 설명하는 강의는 없는 것 같습니다.""DELIMITER111 ""1. 아직 다 듣지는 못했으나, 정말 정말 정말 좋은 강의입니다. 2. 다른 곳에서 듣기 어려운 강의입니다. 보통 너무 개론적인 내용이나 recipe만이 인터넷에 난무하는데, 그래프를 어떻게 그리고 구성하는지, 내부에서 api가 어떤 식으로 구성되어 있는지를 제대로 가르쳐 줍니다.  3. 공대형아가 pytorch나 머신러닝 등등을 모두 다 가르쳐 주면 좋겠네요ㅋㅋㅋㅋㅋㅋ""DELIMITER111 ""감사합니다.""DELIMITER111 ""선후기 후수강합니다! 믿고 듣는 최고의 강의!  matplotlib은 이 강의로 끝낼 수 있을 것 같네요.""",https://www.inflearn.com/course/데이터시각화-파이썬
162,프레임워크 및 라이브러리,Svelte 실전 강의 - 스도쿠 만들기,이효범(Beomy),29700,30명,총 50개 수업 / 총 7시간 51분,0.0,,https://www.inflearn.com/course/스벨트-실전-스도쿠실습
163,서버 개발,초보를 위한 도커 안내서,subicura,5500,1464명,총 29개 수업 / 총 1시간 49분,4.8,"""도커에 대해 이해하는데 큰 도움이 되었습니다. (짱짱) 완강 후에도 도커에 대해 궁금한 부분이 생길 때 마다 자주 찾아  복습하고 있습니다.  좋은 강의로 공유해주셔서 감사합니다.""DELIMITER111 ""Subicura 님 블로그 글도 잘 읽었는데 강의도 좋네요.   발견하고 바로 보고 있는데, 실습 자료도 많고 저 같은 초보자 분들에게 도움이 될 것 같습니다! 👍👍👍""DELIMITER111 ""강사님 강의를 이전에 오프라인에서 들었는데 복습할 마음으로 다시 듣고 있습니다 기술의 핵심과 사용 이유를 알 수 있어서 다시 들어도 명쾌하네요!""DELIMITER111 ""마지막에 이미지 도커허브에 배포하는것은 그냥 설명만 하고 넘어갔습니다. 최소한 태그 만들어서 배포하고 다시 받아와서 실행시키는것은 보여줬어야한다고 생각합니다. 그냥 마지막에 막 넘어가서 빨리 종료할려는 느낌이 들었습니다.""DELIMITER111 ""도커에 대해 전반적으로 이해하고, 다양한 명령어를 실습함으로써 이해를 할 수 있어서 좋았습니다.   함께 제공되는 pdf 자료로 복습할 수 있어서 더 좋았습니다! 친절하고, 이해하기 쉽게 설명해주셔서 내용자체가 머릿속에 쏙쏙 들어옵니다! ㅎㅎ  다만 조금 아쉬웠던점은, 개인 실습부분에 대한 정답은 txt파일로 제공되는데, 이 부분도 개인적으로 실습해보고 따라할 수 있게끔 강의를 추가해주시면 더 좋았을 것 같습니다! (물론 제작시간이 더 들어서 힘드시겠지만 ㅠㅠ)  + 쿠버네티스 강의도 함께 구매했는데, 다음에 보고 후기 올리겠습니당 ㅎㅎ 감사합니다~""",https://www.inflearn.com/course/도커-입문
164,프로그래밍 언어,자바 입문자를 위한 강의,JeongTaeHyun,38500,289명,총 88개 수업 / 총 11시간 28분,4.5,"""좋은 강의 감사합니다. 현업이야기랑 곁가지 이야기들이 너무 재밌었어요 ㅎㅎㅎㅎ 실습강의라서 그런지 이론부분의 설명이 조금 부족한게 아쉬웠어요 어서 이론강의도 내주세요 ㅎㅎㅎㅎ   아 그리고 웃음소리가 너무 매력있으세요 ㅋㅋㅋㅋㅋ 저도 덩달아 웃었습니다""DELIMITER111 ""전체적으로 입문하는 사람들에게 나쁜 강의는 아니었습니다 !!!! 선생님의 호쾌한 웃음 소리나 가끔 들려주시는 실무 이야기들로 인해 강의가 한층 더 재밌었던 것 같아요 다만 아쉬웠던 점은 실습을 하실 때 코드들에 대해서 좀만 더 자세하게 설명해주셨으면 어땠을까 하는 생각은 들었습니다. 입문 하는 사람들이기 때문에 따라치기는 하지만 정확한 구조나 함수들이 무슨 역할을 하는지에 대해서 부연설명을 더 해주시면 입문하시는 분들에게 훨씬 도움이 되고 재미가 있는 강의가 될 것 같아요 감사했습니다 !""DELIMITER111 ""강의 초반인데 잘 듣고 있습니다.  오늘도   if 문 에 대해서 잘 공부하고 갑니다.""DELIMITER111 ""솔직히 개쩝니다. 제가 이해력이 많이 부족한데 이수업들을때는 불편한 부분 없이 듣고 있습니다. 선생님께서 한줄한줄 계속 반복해서 설명해주십니다.  그리고 다른 수업들과 다르게 비전공자가 들어도 뇌절오지 않게 딱 필요한 지식까지만 알려주시니 오히려 더 가르쳐 주셨으면 좋겠다는 신기한 일이 생깁니다.  그리고 현업 이야기를 섞어서 설명해주시니 현장에 있는것 처럼 잘듣고 있습니다. 어서 스프링과 실전프로젝트를 해볼수 있는 강의 + 다양한 주제로 만나고 싶습니다. 강의 내주셔서 감사합니다.""DELIMITER111 ""강의가 너무 좋네요 ㅎㅎ""",https://www.inflearn.com/course/자바-프로그래밍-기초-입문
165,프레임워크 및 라이브러리,예제로 살펴보는 PyQt Tutorial,제주코딩베이스캠프,88000,468명,총 73개 수업 / 총 7시간 15분,4.9,"""코드마다 상세한 설명을 통해서 이해가 잘되고 구성이 잘되어 있습니다. 매우 만족하고, 노션이나 pdf자료도 정리가 잘되어있어서 개념정리가 잘 되고 있습니다. 노션에 코멘트를 열어놨으니 초보적인 질문을 드려도 답변 부탁합니다.""DELIMITER111 ""파이썬 아나콘다,  파이썬  제공 인는데요... 그리고, vs , pycharm 더 자세히 설명 해주시면 좋겠습니다.""DELIMITER111 ""감사합니다""DELIMITER111 ""좋은 강의 감사합니다ㅎㅎ""DELIMITER111 ""배경 지식의 설명과 실습을 겸비한 강의로 이해가 빠르고 좋습니다""",https://www.inflearn.com/course/pyqt-gui
166,게임 개발,[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] Part7: MMO 컨텐츠 구현 (Unity + C# 서버 연동 기초),Rookiss,77000,1220명,총 42개 수업 / 총 17시간 9분,5.0,"""정말 왠만해서는 이런글 안적는데 우리는 루키스님 같은 분을 만날수 있는 시대에 태어났다는걸 감사하게 생각해야 될 정도로 진짜 배울게 많은 강의입니다...""DELIMITER111 ""많은 도움이 되었습니다.  Part1 ~ 4 퍼즐조각들이 조금씩 맞춰지는듯한 느낌입니다. 감사합니다!""DELIMITER111 ""유니티에만 국한된 강의가 전혀 아닙니다 너무 좋아요""DELIMITER111 ""비전공자도 알아듣기 쉽게 알려주시고 질문 시 답변도 속시원히 빠르게 답변해주셔서 학습하는데 큰 도움이 됩니다..!!""DELIMITER111 ""아무리 듣고 또 들어봐도 절대 후회하지 않을 강의입니다. 현직 개발자로 일을 하고 있지만 아직 한참 멀었다는 것을 깨달음과 동시에 이렇게 소중한 정보를 오픈 한 루키스님께 그저 감사하다는 말씀을 전하고 싶네요""",https://www.inflearn.com/course/유니티-mmorpg-개발-part7
167,프로그래밍 언어,유니티(Unity)로 시작하는 게임개발: Part 3. 슈팅게임 개발,UDevApp,38500,303명,총 230개 수업 / 총 30시간 21분,5.0,"""자세하고 꼼꼼하고 충실한 강의입니다...""DELIMITER111 ""강의 업로드 전부 완료되면 글을 남기려고 했는데 이제 조금 남은거 같아서 리뷰 남깁니다. 저는 프로그래밍을 이걸로 처음 접근했고요. 강의에서 말하신대로 하루에 한시간씩 혹은 30분씩을 계속 보고 연습했습니다. 이렇게 계속 공부해서 보니 진짜 좋네요 다른 유니티 강좌와는 다른 차별화된 점이 있습니다. 그냥 C#이 아니라 C#과 관련된 유니티에서 사용되는 C#의 원리를 배우게 되는데요. 이게 정말 도움이 많이 됩니다. 다른 강의들은 그대로 따라하는 식으로 진행되지만 이건 원리 그 자체를 알려주기 때문에 정말 좋습니다.  왜 이 코드를 지금 써야 하는지를 알게 되니 직접 만들때도 큰 도움이 되는 것 같습니다. 그리고 캐릭터 업그레이드 되고 선택하고 해금하는 기능이 되어 있어서요.  다른 게임을 만들때 큰 도움이 될 것 같습니다.  빨리 전부 완료되어서 저도 업로드를 해봤으면 좋겠습니다.  다음에도 좋은 강의 부탁드립니다.""DELIMITER111 ""학교 선배님한테 추천받아서 들어봤는데 교육과정보면 섹션 정리가 너무 잘 돼서 찾고 싶은 거 바로바로 들을 수 있었던 게 너무 좋았고 내가 소리에 좀 예민해서 목소리 엄청 신경 쓰는데 들으면서 거슬리는 게 없었던 거 같음 교과서로 공부했던 것보다 훨씬 좋은 게 예시를 잘 들어서 이해하기 쉬웠음 C#좀 배웠으면 충분히 할만 할 거 같고 독학하는 사람한테는 투자할만함""DELIMITER111 ""안녕하세용 강사님  처음엔 내용이 쉬어서 인터넷에 있는 딴 강의랑 별 차이가 없나 싶었는데 조금 지나고 스크롤 메뉴들어가고 데이터 로딩하고 하는것 보니까 거의 중급자용 강의가 되버렸네요 ㅋㅋㅋ 저는 강사님이 올린 강의들로 유니티를 처음 접했는데 조금 어렵긴한데 계속 따라갈수는 있을것같아요!! 이거 완료되면 저도 게임 업로드 하고 싶습니다!!""DELIMITER111 ""스크립트를 작성할때마다 메모리구조를 설명해주셔서 기본적인 프로그래밍 지식을 몸에 익히기 좋습니다.""",https://www.inflearn.com/course/유니티-게임개발-파트3
168,웹 개발,몇 줄로 끝내는 인터랙티브 웹 개발 노하우 [초급편],코딩일레븐,77000,913명,총 22개 수업 / 총 2시간 13분,4.6,"""인터랙티브 웹 수업을 몇가지 들었는데 기본적인 원리를 배울수 있어서 매우 좋았습니다. 감사합니다.""DELIMITER111 ""현업 퍼블리셔고, 현실적으로 js 필요성이 느껴져 이제 막 닥치는대로 배우고 있는 js 초보입니다 :) 이 강의를 구매하게 된 가장 큰 이유는.. 인트로 영상에 빨대 나오는 사이트 보고 바로 결제하게 됐어요. 실제로 현업에서 프로젝트 작업할 때 저 사이트를 레퍼런스로 받은 적이 있었거든요^^;;   이러한 이유로 저는 바로 결제했습니다만.ㅎㅎ  강의 구매를 고민하고 계신 분들께 제가 개인적으로 느낀점을 공유드립니다. (현재 50%정도 들었고, js는 저도 초보라.. 비기너입장에서 공유드립니다.)   1. 정말 왕초보 유형 - 바닐라js는 들어만 봤다 - addEventListener 라는 단어는 들어보기만 했다 - js로 특정 요소를 어떻게 가져오는지 모른다 등..  본인이 스스로 기초 지식이 부족하다고 판단이 되신다면 다른 강사님들의 js 이론 강의를 먼저 들은 후에 이 강의를 들으시는 것을 추천드립니다.  2. 그래도 산출물이 나오긴 하는 유형 - 혼자서 고퀄리티의 코드를 짤 수 없을 뿐이지 if문을 100개를 써서라도 어쨌든 결과물은 낼 수 있다 - 적어도 남이 짠 코드 흐름은 파악할 수 있다 여기에 해당한다면 들어도 됩니다.  개인적으로 굉장히 효율성있는 강의라 생각합니다. 현업에서는 특정 기술만 빠르게 캐치해서 적용해야할 때도 있는데, 이 강의가 딱 그렇게 느껴지거든요. 짧은 시간안에 핵심은 다 들어있어요.  문제는 핵심만 있다보니 이론이 부족하다고 느껴질 수 있는데요, 이론은.. 구글신이 있으니 걱정하지 않으셔도 됩니다. 저도 헷갈리거나 더 알고싶은 부분은 구글링하면서 듣고 있어요~  마지막으로 강사님께 한가지 작은 요청사항이 있습니다! 화면에 나오는 VSCode 폰트 사이즈가 작은 것 같아요 ㅠㅠ 추후 신규 강좌가 등록된다면 폰트사이즈 조금만 키워주실 수 있으실까요? :)  그리고 이 강의의 보강편으로 수강평에 언급된 리사이즈나 모바일 버전 강의가 나와도 좋을 것 같아요. 어찌됐든 신규 강의가 나오기전까지 계속 반복해서 듣고있을게요. 감사합니다 👍👍""DELIMITER111 ""선생님 많이 궁금했던건데 강의해주셔서 감사합니다 반응형이나 모바일웹에서 적용하는법도 자세히 알고싶습니다 ㅠㅠ 지루하지않고 너무 재밌어서 금방봐버렸어용!! 계속 반복적으로 보면서 마스터하겠습니당""DELIMITER111 ""재밌습니다!""DELIMITER111 ""그동안 궁금했던 인터렉션인데 반복되는 수업에 이해도를 높였습니다. - 소리가 일정하지 않은 부분은 보완이 필요해 보이네요 ^^""",https://www.inflearn.com/course/자바스크립트-인터랙티브-웹
